City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Cabedelo,BR,-6.9811,-34.8339,84.87,59,94,13.67,overcast clouds
334,Tommot,RU,58.9564,126.2925,-5.89,96,100,6.82,overcast clouds
335,Lucapa,AO,-8.4192,20.7447,79.65,65,100,2.13,overcast clouds
336,Ambanja,MG,-13.6833,48.45,82.33,88,100,3.38,light rain
337,Coihaique,CL,-45.5752,-72.0662,67.95,52,75,10.36,broken clouds
338,Geraldton,AU,-28.7667,114.6,72.01,64,100,23.02,overcast clouds
339,Alice Springs,AU,-23.7,133.8833,76.55,23,0,6.91,clear sky
340,Emerald,AU,-23.5333,148.1667,78.94,73,67,8.05,light rain
341,Suifenhe,CN,44.4,131.1667,-7.06,95,52,4.16,broken clouds
342,Kailaras,IN,26.3167,77.6167,62.74,88,3,2.42,clear sky
343,Torbay,CA,47.6666,-52.7314,35.28,82,75,10.0,light intensity drizzle
344,Katsuura,JP,35.1333,140.3,52.2,63,46,17.0,scattered clouds
